Substituent,3',TS1,IM,TS2,4'
4-NO2Ph,0.00,8.18,-4.18,16.58,-18.11
4-OMePh,0.00,9.56,0.87,19.95,-17.65
Me,0.00,10.77,4.39,24.14,-13.90
NO2,0.00,6.01,-11.50,14.71,-11.92
