donors,acceptors,high (pi-conj),low (non-pi-conj)
0.87,-4.18,-4.18,-9.21
-3.53,-7.86,0.87,6.85
1.44,-9.21,-7.86,5.12
6.85,-11.33,-3.53,4.39
5.12,-13.36,-11.33,6.97
4.39,-4.32,1.44,
-0.46,-11.50,-13.36,
6.97,,-4.32,
,,-0.46,
,,-11.50,
