Substituent,E_HU (eV),G_TS2 (kcal/mol)
4-NO2Ph,4.99,16.58
4-OMePh,4.48,19.95
CCH,4.96,16.38
CF3,5.77,14.46
CHCH2,4.53,15.92
CHCHCO2Me,3.92,11.65
CHCHNMe2,4.38,16.98
CN,5.19,15.15
CO2Me,5.11,17.64
F,6.15,29.56
H,5.96,28.89
Me,5.95,24.14
N3,4.80,21.43
NMe2,5.71,24.60
NO2,4.65,14.71
