Substituent,3',TS1,IM,TS2,4'
CHCHCO2Me,0.00,5.56,-11.33,11.65,-20.80
CHCHNMe2,0.00,9.63,1.44,16.98,-22.08
CO2Me,0.00,7.37,-4.32,17.64,-13.82
NMe2,0.00,12.84,6.97,24.60,-14.22
