Substituent,3',TS1,IM,TS2,4'
CF3,0.00,4.38,-9.21,14.46,-15.86
CHCH2,0.00,8.39,-3.53,15.92,-19.53
CN,0.00,1.59,-13.36,15.15,-13.18
H,0.00,10.29,5.12,28.89,-6.92
