Substituent,E_HU (eV),G_IM (kcal/mol)
4-NO2Ph,4.99,-4.18
4-OMePh,4.48,0.87
CCH,4.96,-7.86
CF3,5.77,-9.21
CHCH2,4.53,-3.53
CHCHCO2Me,3.92,-11.33
CHCHNMe2,4.38,1.44
CN,5.19,-13.36
CO2Me,5.11,-4.32
F,6.15,6.85
H,5.96,5.12
Me,5.95,4.39
N3,4.80,-0.46
NMe2,5.71,6.97
NO2,4.65,-11.50
